# z_relative(A)  P(0)  FreeEnergy(kJ/mol)  empty_counts  total_counts
16.082753 0.722536 0.805632 2735805.000000 3786393.000000
16.182753 0.740062 0.746218 2802167.000000 3786393.000000
16.282753 0.758456 0.685360 2871811.000000 3786393.000000
16.382753 0.777844 0.622787 2945223.000000 3786393.000000
16.482753 0.796122 0.565210 3014430.000000 3786393.000000
16.582753 0.814531 0.508539 3084136.000000 3786393.000000
16.682753 0.832387 0.454783 3151746.000000 3786393.000000
16.782753 0.849852 0.403308 3217875.000000 3786393.000000
16.882753 0.866277 0.355854 3280067.000000 3786393.000000
16.982753 0.881709 0.312083 3338498.000000 3786393.000000
17.082753 0.896006 0.272210 3392631.000000 3786393.000000
17.182753 0.909205 0.235959 3442607.000000 3786393.000000
17.282753 0.921417 0.202886 3488845.000000 3786393.000000
17.382753 0.933170 0.171464 3533349.000000 3786393.000000
17.482753 0.943252 0.144826 3571521.000000 3786393.000000
17.582753 0.952390 0.120924 3606124.000000 3786393.000000
17.682753 0.960996 0.098625 3638709.000000 3786393.000000
17.782753 0.968068 0.080449 3665486.000000 3786393.000000
17.882753 0.974282 0.064588 3689015.000000 3786393.000000
17.982753 0.979516 0.051305 3708834.000000 3786393.000000
18.082753 0.983731 0.040663 3724791.000000 3786393.000000
18.182753 0.987414 0.031399 3738736.000000 3786393.000000
18.282753 0.990399 0.023917 3750038.000000 3786393.000000
18.382753 0.992694 0.018178 3758729.000000 3786393.000000
